first_letter,fare_bucket
A,prem_cabin
B,full_mid_econ
C,prem_cabin
D,prem_cabin
E,deep_disc_econ
F,prem_cabin
G,full_mid_econ
H,full_mid_econ
I,prem_cabin
J,prem_cabin
K,full_mid_econ
L,full_mid_econ
M,full_mid_econ
N,full_mid_econ
O,deep_disc_econ
P,prem_cabin
Q,full_mid_econ
R,deep_disc_econ
S,full_mid_econ
T,full_mid_econ
U,full_mid_econ
V,full_mid_econ
W,deep_disc_econ
X,deep_disc_econ
Y,full_mid_econ
Z,prem_cabin
